stock,cluster_id,anomaly_score,sector_id,x,y
UHS UN Equity,0,0.15767008694893617,5,6.521978907202353,-0.37094871132129914
MSFT UW Equity,3,0.29513772769276597,7,-1.8438368180342661,-9.877308322751546
LH UN Equity,0,0.15799523190978723,5,6.319501062856692,-0.9214868851053631
KEYS UN Equity,1,0.1394533329157447,7,-3.4475334396040007,-0.6756557773376375
APTV UN Equity,2,0.23328017676170215,1,17.33243108457558,-1.6931535960029354
XYZ UN Equity,2,0.2748773300459575,4,17.80247274000026,-1.1034917441250633
EXC UW Equity,0,0.16849614777982977,10,7.031292515774772,-0.5200495515026963
ICE UN Equity,0,0.15434229952425532,4,7.026166213284464,-0.7711474935129427
MET UN Equity,0,0.1708758258561702,4,6.75338912580065,-0.5825500930419
PSKY UW Equity,4,0.4790916746382979,0,-0.05440586325914819,-16.106403387073435
CPT UN Equity,0,0.15108644863540427,9,6.319682975751794,-0.05000746121724353
SW UN Equity,2,0.24257322721531918,8,17.49191257893615,-0.9861168343379789
MTCH UW Equity,2,0.24510226159719148,0,17.58502501900985,-0.9063257907793572
WDC UW Equity,0,0.17544349242978724,7,6.814686256199886,-0.24326555389809257
PPL UN Equity,0,0.1597065080691915,10,6.65612294236967,-0.5522160508532963
TT UN Equity,0,0.15058233740340426,6,6.576524187337994,-0.6057472224048019
LRCX UW Equity,0,0.1815071176425532,7,6.756748959276205,-0.3189567946617297
STZ UN Equity,0,0.1999817039268085,2,7.201110506067804,-0.6061267923121695
NEM UN Equity,0,0.21155448279489358,8,7.31213408024768,-0.44460626140212545
PG UN Equity,2,0.23040968289617023,2,17.38103821320952,-0.4564525427678744
AXP UN Equity,0,0.1676364256017021,4,6.556629892217252,-0.1736532612512623
CEG UW Equity,0,0.15327910978842554,10,6.737688140984758,0.06233794280150817
DRI UN Equity,0,0.2182880445123404,1,7.61076412805674,-0.049134135255148564
IFF UN Equity,2,0.22366195570978725,8,17.515651692882813,-1.3112855313526577
ITW UN Equity,1,0.14462698678765956,6,-3.604800271751338,-0.3728875042848663
COO UW Equity,1,0.13674531908868084,5,-3.857413530966043,-0.32340586730244647
IQV UN Equity,0,0.1579072502706383,5,6.706305327947749,-0.7489813175468761
ORCL UN Equity,0,0.16755882439957448,7,6.729392118533991,-0.07490169522587882
CL UN Equity,2,0.26999042102314896,2,17.73435968054573,-0.42717037754614007
HPE UN Equity,0,0.15869351133429788,7,6.667314857151942,-0.10781942126139236
GIS UN Equity,0,0.2081069230238298,2,7.290212190313329,0.0028103196875437914
BKNG UW Equity,0,0.20558142386638295,1,6.912292394769523,0.3285557316710797
TTD UQ Equity,5,0.3914251268357447,0,8.931162215780095,-12.271347031453686
REGN UW Equity,1,0.13706094905021277,5,-3.4941966440141825,-0.219554654941458
PSX UN Equity,0,0.20589372315234045,3,7.199770636969693,-0.5661406950290004
JCI UN Equity,0,0.15814676867659572,6,6.62441042272418,-0.17294141921168377
TDG UN Equity,1,0.11934153078187233,6,-3.838930114313177,0.0219809058272539
TDY UN Equity,0,0.1509738703787234,7,6.886222079896149,0.14772658069833866
CB UN Equity,0,0.17736171715489363,4,6.854904251790732,-0.37023303694957865
POOL UW Equity,0,0.21225446506638296,1,7.4908558938317,0.4193183878411915
ALLE UN Equity,1,0.13571165371829788,6,-3.610564256841292,-0.06162688600220575
IR UN Equity,1,0.13803131813276595,6,-3.6161662046156398,0.1305531330360151
DVN UN Equity,0,0.19750224985276596,3,6.923059281039682,0.16758584191688625
MPWR UW Equity,0,0.14988040046297874,7,6.685866713359858,0.31230824811648006
LYB UN Equity,0,0.1676416876250213,8,6.828755010891268,-0.016908100810912235
RSG UN Equity,0,0.15285548416680853,6,6.498085197890189,0.354434299974996
ROP UW Equity,0,0.15415192790138724,7,6.668414260699304,0.44327682939461027
CRL UN Equity,1,0.13989502956851063,5,-3.526260881706019,0.056070025104181936
HAS UW Equity,0,0.20883746285889362,1,7.3873312384697325,0.25954400834555014
ULTA UW Equity,0,0.19521148498382976,1,7.016440517137961,0.285090289399839
